,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,0,Std-01,STD1,,16.7400454790733,16.7503507724383,0.0145738856410599,30000000,7.47712125471966,30000000,0,62,
,A02,FAM,0,Std-01,STD1,,16.7606560658034,16.7503507724383,0.0145738856410599,30000000,7.47712125471966,30000000,0,62,
,A03,FAM,0,Unkn-01,15.3_D,,22.6948217473825,22.5341176683415,0.227269888108483,512537.040742447,5.70972525706194,576716.842384578,90763.945912716,62,
,A04,FAM,0,Unkn-01,15.3_D,,22.3734135893005,22.5341176683415,0.227269888108483,640896.644026708,5.80678799746252,576716.842384578,90763.945912716,62,
,A05,FAM,0,Unkn-09,5.5_A,,22.7624576311425,22.7837913834969,0.0301704819159334,488989.744876762,5.68929975116833,481842.286329758,10108.0328136717,62,
,A06,FAM,0,Unkn-09,5.5_A,,22.8051251358513,22.7837913834969,0.0301704819159334,474694.827782755,5.67641449972416,481842.286329758,10108.0328136717,62,
,A07,FAM,0,Unkn-17,6.3_D,,23.1665886622511,23.2503399421498,0.118442195898823,369194.610490801,5.56725535256192,348898.567099471,28702.9398265325,62,
,A08,FAM,0,Unkn-17,6.3_D,,23.3340912220485,23.2503399421498,0.118442195898823,328602.52370814,5.51667089454734,348898.567099471,28702.9398265325,62,
,A09,FAM,0,Unkn-25,10.1_C,,23.123208285475,23.0919658143013,0.0441835264558465,380501.072973576,5.58035588577373,388949.614590834,11948.0421373993,62,
,A10,FAM,0,Unkn-25,10.1_C,,23.0607233431277,23.0919658143013,0.0441835264558465,397398.156208092,5.5992258478002,388949.614590834,11948.0421373993,62,
,A11,FAM,0,Unkn-33,15.1_C,,22.1969206701207,22.1710556982851,0.0365785939603399,724581.887047972,5.86008747342825,737851.102846576,18765.5049444401,62,
,A12,FAM,0,Unkn-33,15.1_C,,22.1451907264495,22.1710556982851,0.0365785939603399,751120.318645179,5.87570951029085,737851.102846576,18765.5049444401,62,
,B01,FAM,0,Std-02,STD2,,20.2503943845354,20.2402535205675,0.0143413473576673,3000000,6.47712125471966,3000000,0,62,
,B02,FAM,0,Std-02,STD2,,20.2301126565995,20.2402535205675,0.0143413473576673,3000000,6.47712125471966,3000000,0,62,
,B03,FAM,0,Unkn-02,10.1_A,,22.0022748957799,22.0433035333403,0.0580232556835901,829600.431243946,5.91886896913655,806594.702559691,32535.0135175486,62,
,B04,FAM,0,Unkn-02,10.1_A,,22.0843321709007,22.0433035333403,0.0580232556835901,783588.973875437,5.89408831627274,806594.702559691,32535.0135175486,62,
