"Sample","SQ.Mean_SCNAG","SQ.Mean_mtDNA","mtDNA.Mean","Cq.Mean_SCNAG","SQ.Mean_Telomeres","Cq.Mean_Telomeres","Telomeres.per.cell"
"10.1_A",49222.9630889806,806594.702559691,16.3865531845697,28.3754320124351,1.67e+11,18.36718651,3392725.45819952
"10.1_C",18988.7896160149,388949.614590834,20.4831178003467,29.758738533765,1.77e+11,18.28618599,9321289.22270646
"10.4_B",26721.7118846205,377264.985516417,14.1182940354038,29.2604907049995,1.69e+11,18.369533,6324445.10777271
"10.4_C",21152.1879724001,465876.361719103,22.0249726565871,29.5997816520697,1.81e+11,18.25321301,8557034.39455877
"10.5_D",23048.7897524766,545638.61469151,23.6732002222755,29.4978625657427,1.89e+11,18.18513101,8199996.70393505
"11.2_D",27753.8636418078,337836.74113093,12.1726021822065,29.2058993812294,1.07e+11,19.05526536,3855319.07848742
"11.3_B",14571.5698704508,323795.955564599,22.2210755905727,30.1387671800525,1.69e+11,18.35178684,11597926.7506866
"12.5_B",28214.2945021097,550156.880832059,19.4992251459955,29.1830797397163,1.71e+11,18.33894916,6060757.60594381
"13.2_C",25958.598727507,286865.204545975,11.0508740304999,29.3029323235989,1.69e+11,18.35412268,6510366.8258071
"13.3_D",24454.3662191725,350202.067519896,14.3206356027061,29.3938888875663,1.42e+11,18.61795903,5806734.00926949
"14.5_C",31594.7464828393,573680.926881242,18.1574784020767,29.0176631522145,2.12e+11,18.00878699,6709976.29669692
"15.1_B",65226.7745649651,900597.564088256,13.8071761189306,27.9676330904193,2.11e+11,18.02248657,3234867.91133366
"15.1_C",55963.5530989074,737851.102846576,13.1844935138863,28.1895134850703,1.75e+11,18.3034822,3127035.19182767
"15.3_B",50802.1865033729,624810.802580748,12.2988958858939,28.3308590281485,1.36e+11,18.6867994,2677050.1303319
"15.3_D",26414.2028625997,576716.842384578,21.833588747104,29.2873476578436,1.63e+11,18.40916598,6170922.54677859
"17.2_A",44183.140445309,783370.068541594,17.730067637706,28.5414287218205,1.36e+11,18.70529723,3078097.17981329
"17.2_C",73065.5765116845,1009697.45723837,13.8190582411527,27.8050530003267,1.78e+11,18.27367089,2436167.73449443
"17.5_B",26954.7728761817,522403.067878687,19.3807260138446,29.2484223524693,1.88e+11,18.19018215,6974646.0437114
"2.2_B",67392.4269605294,1094034.18235016,16.2337851846605,27.9218765910264,2.13e+11,18.00594786,3160592.5117484
"2.2_D",13977.4842600427,249770.725124445,17.8695050180426,30.2058052327271,89280357555,19.32774295,6387441.10842785
"3.1_A",53183.9671867933,584466.470350811,10.9895237468473,28.2658717845805,1.35e+11,18.69216457,2538358.96682644
"3.3_B",33145.4343624079,562084.783290132,16.9581359877312,28.9482402597303,1.68e+11,18.36448338,5068571.38039314
"3.4_C",20779.3642872435,510375.515290584,24.5616520426424,29.6273446020916,1.7e+11,18.33972994,8181193.49803032
"5.1_A",36466.9794364981,651267.581092617,17.8591040759683,28.8102055073139,1.87e+11,18.2071719,5127926.76798563
"5.3_A",45627.0903880047,583921.700522088,12.7976974984931,28.4998255987676,1.19e+11,18.92134506,2608099.68350042
"5.3_D",22038.20571874,388639.189565358,17.6347927106825,29.5400519691243,1.88e+11,18.19409595,8530640.03482533
"5.4_B",64928.1290697939,764912.750080353,11.780914698129,27.9744621050231,1.71e+11,18.33763556,2633681.30962445
"5.5_A",35621.2415156184,481842.286329758,13.5268246088079,28.8438392022093,1.67e+11,18.36906495,4688213.91098279
"5.5_B",18337.738511769,434710.395442371,23.7057800318931,29.8057819458039,1.55e+11,18.48789798,8452514.46357588
"6.3_D",18114.7093741082,348898.567099471,19.2605114381885,29.8269892090132,1.26e+11,18.80578442,6955673.28174168
"6.4_A",25342.2172854293,290762.303458992,11.47343581598,29.3385407847177,1.35e+11,18.69485181,5327079.25591102
"6.4_C",27804.8568458551,518079.285481136,18.6326902653472,29.2026982606303,1.94e+11,18.13937892,6977198.30299791
"7.1_A",32906.997932431,807928.5456766,24.5518763922357,28.9598003704673,1.95e+11,18.13732643,5925791.23748693
"7.5_D",20151.4987738657,403813.580531178,20.0388856959305,29.6690337517261,1.64e+11,18.3957586,8138352.47890793
"8.1_C",16487.6367237936,447407.902454302,27.1359631431374,29.9612467518557,1.64e+11,18.39939333,9946847.00708675
"9.4_C",23097.5422663337,328087.328520393,14.2044259400968,29.4732892093277,1.32e+11,18.73792512,5714893.75267425
"9.5_A",13599.1019430145,320574.704871456,23.5732261008696,30.2420582000338,1.27e+11,18.80531054,9338851.97215074
"9.6_D",25063.1871471565,395214.471911064,15.7687236499729,29.3541680478279,1.77e+11,18.28131518,7062150.51424859
